group,condition,file_name,still_total_duration_s,still_average_duration_s,still_std_duration_s,walking_total_duration_s,walking_average_duration_s,walking_std_duration_s,rearing_total_duration_s,rearing_average_duration_s,rearing_std_duration_s,grooming_total_duration_s,grooming_average_duration_s,grooming_std_duration_s,licking hindpaw L_total_duration_s,licking hindpaw L_average_duration_s,licking hindpaw L_std_duration_s,licking hindpaw R_total_duration_s,licking hindpaw R_average_duration_s,licking hindpaw R_std_duration_s
Combined,1Per Formalin,2107.0M_L1_acA2040-120um__23670847__20230707_131221586DLC_resnet50_LUPE_MALEDec5shuffle1_350000,868.9,1.505892547660312,1.7512461348563033,574.3833333333332,0.9852201257861634,1.0633799349166624,171.4,1.1350993377483445,1.0035828976801657,186.89999999999995,2.365822784810126,2.8304799465971224,73.39999999999999,2.823076923076923,2.8227520249010256,0.0,0.0,0.0
Combined,1Per Formalin,2107.1M_L2_acA2040-120um__23701274__20230707_131339359DLC_resnet50_LUPE_MALEDec5shuffle1_350000,600.0,1.0526315789473684,1.2352860686025207,646.2,1.0389067524115756,0.8461359652507032,242.3,1.076888888888889,1.0252800641173823,305.7,2.024503311258278,3.3396467848172255,69.0,2.090909090909091,2.799498184075966,11.8,5.9,1.1
Combined,1Per Formalin,2107.2M_L3_acA2040-120um__23701299__20230707_130157080DLC_resnet50_LUPE_MALEDec5shuffle1_350000,522.5,0.9313725490196079,1.1136872027763924,537.5833333333333,0.8670698924731182,0.8713861976812046,540.5,1.403896103896104,1.4588059125546144,246.70000000000002,1.0964444444444446,1.7941350816920183,25.9,1.7266666666666666,1.4892802139139414,1.8,0.9,0.20000000000000007
Combined,1Per Formalin,2107.3M_L4_acA2040-120um__23670846__20230707_130523712DLC_resnet50_LUPE_MALEDec5shuffle1_350000,725.1,1.2394871794871796,1.3848372092016739,578.8,0.9810169491525423,1.109120425543049,377.4,1.5991525423728812,1.3516465641423956,134.00000000000003,1.5764705882352945,2.1477565345001026,59.50000000000001,1.9193548387096777,2.087353526611444,0.2,0.2,0.0
Combined,1Per Formalin,2107.4M_L1_acA2040-120um__23670847__20230707_135124289DLC_resnet50_LUPE_MALEDec5shuffle1_350000,344.7,0.9341463414634146,1.0385910772477527,431.3833333333333,0.9257153075822604,0.7790195811960078,584.3,1.4680904522613065,1.570683643321047,462.79999999999995,1.7140740740740739,2.6271985632626493,50.400000000000006,2.016,3.3826238336533963,1.4,1.4,0.0
Combined,1Per Formalin,2108.0F_L2__acA2040-120um__23701274__20230707_135900313DLC_resnet50_LUPE_MALEDec5shuffle1_350000,521.2,0.912784588441331,1.1482390938498592,802.4833333333333,1.1415125651967757,0.9653126686446121,249.7,0.8823321554770318,0.6060112909226548,258.7,1.383422459893048,2.617647441184636,40.9,1.0225,0.9660454181869504,2.0,1.0,0.10000000000000003
Combined,1Per Formalin,2108.1F_L3_acA2040-120um__23701299__20230707_134035525DLC_resnet50_LUPE_MALEDec5shuffle1_350000,488.40000000000003,0.8072727272727274,0.7921807957929431,793.5999999999999,1.1585401459854012,1.139229179884675,386.4,1.2794701986754966,1.1709405220016615,175.48333333333332,1.0262183235867446,1.7377464046919135,30.899999999999995,1.343478260869565,1.8696258837477577,0.2,0.2,0.0
Combined,1Per Formalin,2108.2F_L4_acA2040-120um__23670846__20230707_134352759DLC_resnet50_LUPE_MALEDec5shuffle1_350000,249.38333333333335,0.5719801223241591,0.5014458489828851,697.5,1.0441616766467066,0.993969263114484,609.1000000000001,1.0306260575296111,0.8716591220038046,287.6,0.7648936170212767,1.3899110217050334,29.8,1.49,2.030246290478079,1.6,0.26666666666666666,0.11055415967851333
Combined,1Per Formalin,2108.3F_L1_acA2040-120um__23670847__20230707_142905078DLC_resnet50_LUPE_MALEDec5shuffle1_350000,489.4,0.7426403641881638,0.9580200606830671,748.5,1.0281593406593406,0.9748434176298615,266.29999999999995,0.9718978102189779,0.8361661142256044,261.9,1.0912499999999998,1.8815016442990422,108.88333333333333,1.4713963963963963,1.6636132396197336,0.0,0.0,0.0
Combined,1Per Formalin,2108.4F_L2_acA2040-120um__23701274__20230707_143648805DLC_resnet50_LUPE_MALEDec5shuffle1_350000,459.6,0.7237795275590552,0.7328629321886561,816.8,1.0378653113087675,0.9430354715160414,279.40000000000003,0.791501416430595,0.6044089760567236,228.38333333333333,0.700562372188139,1.0795650320920838,90.8,0.9978021978021978,0.6923408329761858,0.0,0.0,0.0
Combined,5Per Formalin,2109.0M_L3_acA2040-120um__23701299__20230707_141704742DLC_resnet50_LUPE_MALEDec5shuffle1_350000,665.9833333333333,1.0899890889252593,1.3943121801089489,628.0,0.9874213836477987,0.840503154066402,237.8,1.100925925925926,0.9563138499981148,172.50000000000003,1.3582677165354333,2.193851140338754,170.7,1.9179775280898874,2.759806286873781,0.0,0.0,0.0
Combined,5Per Formalin,2109.1M_L4_acA2040-120um__23670846__20230707_142024103DLC_resnet50_LUPE_MALEDec5shuffle1_350000,522.3,1.0572874493927125,1.3534098226856777,544.9,0.997985347985348,1.0111537166094762,267.49999999999994,1.0829959514170038,0.9595642208371123,434.4,2.4268156424581004,4.4607733408473615,96.89999999999999,3.5888888888888886,4.55154294826233,9.0,2.25,1.2298373876248843
Combined,5Per Formalin,2109.2M_L1_acA2040-120um__23670847__20230707_150543646DLC_resnet50_LUPE_MALEDec5shuffle1_350000,797.1833333333333,1.6539073305670815,2.501473805816576,513.1999999999999,1.058144329896907,1.1787467833122094,105.3,1.1831460674157304,1.2155579432901462,281.9,2.0135714285714283,2.891248141603645,177.4,1.7392156862745098,2.654192276334543,0.0,0.0,0.0
Combined,5Per Formalin,2109.3M_L2_acA2040-120um__23701274__20230707_151536525DLC_resnet50_LUPE_MALEDec5shuffle1_350000,858.0,1.4323873121869783,1.7592738704243533,529.1,0.9153979238754326,1.2044417208639142,65.50000000000001,0.9492753623188408,0.7521222511648838,249.0,1.9606299212598426,3.109932208804026,172.49999999999997,2.0535714285714284,2.947171623477549,0.8999999999999999,0.44999999999999996,0.24999999999999997
Combined,5Per Formalin,2109.4M_L3_acA2040-120um__23701299__20230707_145343367DLC_resnet50_LUPE_MALEDec5shuffle1_350000,701.3999999999999,1.2326889279437607,1.4574648680921103,656.9,0.9968133535660091,1.0250898832069533,327.29999999999995,1.2988095238095236,1.0199393906229024,96.8,1.5612903225806452,2.8927247362277257,92.60000000000002,2.01304347826087,2.13791941683784,0.0,0.0,0.0
Combined,5Per Formalin,2110.0F_L4_acA2040-120um__23670846__20230707_145711766DLC_resnet50_LUPE_MALEDec5shuffle1_350000,298.9,0.540506329113924,0.49209420404648624,966.1000000000001,1.3645480225988702,1.3180944961576824,342.4,1.0100294985250737,1.0371362598755847,204.5,0.798828125,1.6966299874188786,62.800000000000004,1.231372549019608,1.297129590647256,0.3,0.3,0.0
Combined,5Per Formalin,2110.2F_L2_acA2040-120um__23670847__20230707_154525784DLC_resnet50_LUPE_MALEDec5shuffle1_350000,326.5,0.6745867768595041,0.6124355546385916,652.9,0.9832831325301205,0.9057583878636554,538.5,1.1457446808510638,1.7977684094346158,279.0,0.9823943661971831,1.9090886881240456,78.1,1.8595238095238094,1.9988162596670305,0.0,0.0,0.0
Combined,5Per Formalin,2110.2F_L2_acA2040-120um__23701274__20230707_155051618DLC_resnet50_LUPE_MALEDec5shuffle1_350000,709.9833333333333,0.8998521335023236,1.1821801770856408,953.7,1.1299763033175356,1.1148032361644085,83.3,1.067948717948718,0.6869653799629113,98.2,1.3093333333333335,2.2753855839297996,29.800000000000004,0.9312500000000001,0.7165182743656996,0.0,0.0,0.0
Combined,5Per Formalin,2110.3F_L3_acA2040-120um__23701299__20230707_153027052DLC_resnet50_LUPE_MALEDec5shuffle1_350000,868.1833333333332,1.4186002178649235,2.301850590623565,644.1,1.042233009708738,1.2176611078367374,85.8,1.0094117647058822,0.7133390464258278,142.69999999999996,1.2301724137931032,2.488359791716645,129.70000000000002,1.6844155844155846,2.241176924990032,4.500000000000001,0.642857142857143,0.34166459266003996
Combined,5Per Formalin,2110.4F_L4_acA2040-120um__23670846__20230707_153354739DLC_resnet50_LUPE_MALEDec5shuffle1_350000,574.0999999999999,0.8555886736214604,0.8668050715142711,749.0,1.0639204545454546,1.0540395641357252,248.29999999999998,1.0218106995884773,0.8614142914122709,175.48333333333332,0.9749074074074073,1.537783896525863,126.50000000000001,1.277777777777778,1.2049188375831539,1.6,0.4,0.1224744871391589
Combined,Control,1_2087.0_M_L1_acA2040-120um__23670847__20230707_095944991DLC_resnet50_LUPE_MALEDec5shuffle1_350000,140.1,0.5131868131868131,0.40650627717074866,607.3000000000001,0.9474258970358815,0.8591602880225501,926.0833333333334,1.326766953199618,1.1284864358578846,200.70000000000002,0.5834302325581396,1.0270690296392604,0.0,0.0,0.0,0.8,0.4,0.19999999999999998
Combined,Control,1_2087.1_M_L2_acA2040-120um__23701274__20230707_100309909DLC_resnet50_LUPE_MALEDec5shuffle1_350000,473.0,0.9936974789915967,1.3923267301919797,597.0999999999999,1.1549323017408122,1.0186082235179985,552.0999999999999,1.2691954022988503,1.5465848311615051,246.70000000000002,1.1917874396135266,2.178680226581521,0.0,0.0,0.0,6.1000000000000005,0.8714285714285716,1.0579147760899212
Combined,Control,1_2087.2M_L3_acA2040-120um__23701299__20230707_100312702DLC_resnet50_LUPE_MALEDec5shuffle1_350000,580.0,0.8285714285714286,0.9356499432621853,730.1833333333334,0.9735777777777779,0.8693062450335445,432.29999999999995,1.264035087719298,1.0998772281020763,87.69999999999999,0.9744444444444443,1.4084318396406623,44.6,2.477777777777778,2.4820590814786456,0.2,0.2,0.0
Combined,Control,1_2087.3M_L4_acA2040-120um__23670846__20230707_100419646DLC_resnet50_LUPE_MALEDec5shuffle1_350000,713.5,1.1218553459119496,1.5578903503953894,909.6166666666667,1.2704143389199256,1.387975540427428,123.4,0.8942028985507247,0.5333471170241527,127.60000000000001,2.6040816326530614,3.850574257923757,0.7,0.35,0.05000000000000002,0.2,0.2,0.0
Combined,Control,1_2087.4_M_L1_acA2040-120um__23670847__20230707_103354822DLC_resnet50_LUPE_MALEDec5shuffle1_350000,401.4,0.9534441805225653,1.0002939068547987,635.8,1.0868376068376067,1.3412002849677938,636.1999999999999,1.5404358353510894,1.752282994788452,200.0,1.2578616352201257,2.0961295163726517,0.6,0.6,0.0,1.0,1.0,0.0
Combined,Control,1_2089.0F_L3_acA2040-120um__23701299__20230707_111115126DLC_resnet50_LUPE_MALEDec5shuffle1_350000,279.20000000000005,0.6743961352657006,0.706608896725709,787.3833333333333,1.2478341257263603,1.2500120344373276,590.6,1.1101503759398497,0.9928174270995097,215.8,1.0227488151658768,1.97794810344947,2.0,0.6666666666666666,0.28674417556808757,0.0,0.0,0.0
Combined,Control,1_2089.1F_L4_acA2040-120um__23670846__20230707_111227636DLC_resnet50_LUPE_MALEDec5shuffle1_350000,322.5,0.6502016129032258,0.6562970103572392,685.8000000000001,1.0055718475073314,0.8851320187326499,589.4,1.0162068965517241,0.9761356385154799,274.0,0.7988338192419825,1.4891830909953296,0.0,0.0,0.0,3.3,0.6599999999999999,0.10198039027185571
Combined,Control,1_2089.2_F_L1_acA2040-120um__23670847__20230707_114240542DLC_resnet50_LUPE_MALEDec5shuffle1_350000,167.10000000000002,0.5802083333333334,0.5899540574744406,619.6,0.9945425361155699,0.9876618014611471,728.3,1.0345170454545454,0.9678432235601335,359.6,0.7460580912863071,1.2730998454726223,0.4,0.4,0.0,0.0,0.0,0.0
Combined,Control,1_2089.3_F_L2_acA2040-120um__23701274__20230707_114526740DLC_resnet50_LUPE_MALEDec5shuffle1_350000,409.9,0.7633147113594041,1.1550450423825693,689.9833333333333,0.9677185600748013,0.7944235871755795,585.4,1.132301740812379,1.029065566375757,188.60000000000002,0.7825726141078839,1.5176510636346083,0.2,0.2,0.0,0.9,0.45,0.04999999999999999
Combined,Control,1_2089.4F_L3_acA2040-120um__23701299__20230707_114519272DLC_resnet50_LUPE_MALEDec5shuffle1_350000,558.9000000000001,0.9874558303886928,0.9915909125247647,612.5,0.9768740031897927,0.9515325278669766,381.8,1.156969696969697,1.0722519063153386,259.7,1.2366666666666666,3.0888953694119525,62.1,3.268421052631579,4.316315757385171,0.0,0.0,0.0
